ObservedAgentID;ContractID;InstrumentID;DefaultStatusOfTheInstrumentICR;DateOfTheDefaultStatusOfTheInstrumentICR;DateOfICRPastDueAmount;DateOfICRPastDueAmountNEV;ICRPastDueAmount;ICRPastDueAmountNEV;ExigibilityStatus;DateOfExigibilityStatus;DateOfExigibilityStatusNEV;RegularisationStatus;DateOfRegularisationStatus;DateOfRegularisationStatusNEV;UseOfCommitmentAmount
444555999;220-00-03460-04;220000000000;1;2002-07-12;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03475-19;220000000000;1;2002-09-23;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03500-44;220000000000;1;2003-01-20;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03505-49;220000000000;1;2003-01-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03508-52;220000000000;1;2003-03-07;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03522-66;220000000000;1;2003-04-15;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03527-71;220000000000;1;2003-04-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03528-72;220000000000;1;2003-04-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03532-76;220000000000;1;2003-05-27;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03539-83;220000000000;1;2003-06-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03542-86;220000000000;1;2003-07-23;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03543-87;220000000000;1;2003-07-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03545-89;220000000000;1;2003-08-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03546-90;220000000000;1;2003-08-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03556-03;220000000000;1;2003-10-08;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03564-11;220000000000;1;2003-11-12;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03565-12;220000000000;1;2003-11-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03573-20;220000000000;1;2003-12-22;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03579-26;220000000000;1;2004-01-27;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03582-29;220000000000;1;2004-02-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03591-38;220000000000;1;2004-03-31;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03592-39;220000000000;1;2004-04-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03595-42;220000000000;1;2004-04-27;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03597-44;220000000000;1;2004-05-10;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03603-50;220000000000;1;2004-06-18;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03612-59;220000000000;1;2004-07-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03614-61;220000000000;1;2004-07-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03620-67;220000000000;1;2004-08-18;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03631-78;220000000000;1;2004-12-16;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03632-79;220000000000;1;2005-01-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03634-81;220000000000;1;2005-01-31;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03635-82;220000000000;2;2023-09-11;2023-11-01;;1021,55;;-5;;-5;2;;0;-5
444555999;220-00-03637-84;220000000000;1;2005-03-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03641-88;220000000000;1;2005-05-17;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03644-91;220000000000;1;2005-07-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03649-96;220000000000;1;2005-10-17;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03654-04;220000000000;1;2005-11-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03655-05;220000000000;1;2005-12-15;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03656-06;220000000000;1;2005-12-21;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03662-12;220000000000;1;2006-04-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03684-34;220000000000;1;2008-03-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03690-40;220000000000;1;2008-06-23;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03697-47;220000000000;1;2008-09-15;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03703-53;220000000000;1;2008-11-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03724-74;220000000000;1;2010-03-09;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03738-88;220000000000;1;2011-09-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03740-90;220000000000;2;2023-09-03;2023-10-01;;2661,97;;-5;;-5;2;;0;-5
444555999;220-00-03748-01;220000000000;1;2012-08-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03754-07;220000000000;1;2012-12-20;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03756-09;220000000000;1;2013-01-31;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03763-16;220000000000;1;2013-04-18;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03768-21;220000000000;1;2013-08-07;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03770-23;220000000000;1;2013-08-08;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03774-27;220000000000;1;2013-08-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03780-33;220000000000;1;2013-10-04;2013-10-04;;623,37;;-5;;-5;0;;0;-5
444555999;220-00-03781-34;220000000000;1;2013-10-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03784-37;220000000000;1;2013-10-30;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03792-45;220000000000;1;2013-12-18;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03800-53;220000000000;1;2014-04-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03803-56;220000000000;1;2014-05-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03804-57;220000000000;2;2022-10-10;2022-06-01;;12658,15;;-5;;-5;2;;0;-5
444555999;220-00-03807-60;220000000000;1;2014-05-20;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03809-62;220000000000;1;2014-06-05;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03820-73;220000000000;1;2014-08-21;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03821-74;220000000000;1;2014-08-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03822-75;220000000000;1;2014-09-02;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03824-77;220000000000;1;2014-09-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03828-81;220000000000;1;2014-09-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03831-84;220000000000;1;2014-11-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03832-85;220000000000;1;2014-11-24;;;;0;-5;;-5;0;;0;-5
